mode,document_id,model,faithfulness,helpfulness,structure,tts
gt,handwritten1,llama3_8b_,1.0,0.9,1.0,0.83
gt,handwritten1,mistral_latest_,1.0,0.8,0.63,1.0
gt,handwritten1,phi_latest_,0.67,0.17,0.1,0.13
gt,handwritten2,llama3_8b_,1.0,0.7,0.7,1.0
gt,handwritten2,mistral_latest_,1.0,0.83,0.77,1.0
gt,handwritten2,phi_latest_,0.67,0.7,0.2,0.23
gt,handwritten3,llama3_8b_,1.0,0.8,0.9,1.0
gt,handwritten3,mistral_latest_,0.6,0.6,0.87,1.0
gt,handwritten3,phi_latest_,0.0,0.0,0.47,0.5
gt,handwritten4,llama3_8b_,0.83,1.0,0.33,1.0
gt,handwritten4,mistral_latest_,0.83,1.0,0.67,1.0
gt,handwritten4,phi_latest_,0.33,0.47,0.4,0.33
gt,handwritten5,llama3_8b_,1.0,0.9,0.5,0.9
gt,handwritten5,mistral_latest_,1.0,1.0,1.0,0.73
gt,handwritten5,phi_latest_,0.0,0.1,0.27,0.0
gt,handwritten6,llama3_8b_,1.0,1.0,1.0,1.0
gt,handwritten6,mistral_latest_,1.0,1.0,1.0,0.83
gt,handwritten6,phi_latest_,1.0,0.87,0.93,0.43
gt,handwritten7,llama3_8b_,1.0,0.77,0.87,1.0
gt,handwritten7,mistral_latest_,1.0,0.7,0.8,1.0
gt,handwritten7,phi_latest_,0.0,0.23,0.53,0.17
gt,printed1,llama3_8b_,1.0,0.9,0.87,1.0
gt,printed1,mistral_latest_,1.0,0.67,0.53,0.83
gt,printed1,phi_latest_,0.33,0.73,0.6,0.5
gt,printed2,llama3_8b_,1.0,0.97,0.93,1.0
gt,printed2,mistral_latest_,0.33,0.93,0.8,1.0
gt,printed2,phi_latest_,0.33,0.57,0.8,0.0
gt,printed3,llama3_8b_,1.0,0.77,0.77,1.0
gt,printed3,mistral_latest_,1.0,0.83,0.87,0.9
gt,printed3,phi_latest_,0.33,0.63,0.7,0.5
gt,whiteboard1,llama3_8b_,1.0,0.77,0.63,1.0
gt,whiteboard1,mistral_latest_,1.0,0.97,0.87,1.0
gt,whiteboard1,phi_latest_,0.33,0.2,0.33,0.07
