mode,document_id,model,faithfulness,helpfulness,structure,tts
ocr,handwritten1,llama3_8b_,0.67,0.8,0.83,1.0
ocr,handwritten1,mistral_latest_,1.0,0.83,0.87,0.83
ocr,handwritten1,phi_latest_,0.67,0.5,0.53,0.57
ocr,handwritten2,llama3_8b_,1.0,0.8,0.8,1.0
ocr,handwritten2,mistral_latest_,0.67,0.73,0.7,0.83
ocr,handwritten2,phi_latest_,1.0,0.63,0.3,0.07
ocr,handwritten3,llama3_8b_,0.33,0.73,0.47,0.73
ocr,handwritten3,mistral_latest_,0.33,0.67,0.47,0.8
ocr,handwritten3,phi_latest_,0.0,0.03,0.17,0.13
ocr,handwritten4,llama3_8b_,0.33,0.87,0.8,1.0
ocr,handwritten4,mistral_latest_,0.0,0.77,0.93,1.0
ocr,handwritten4,phi_latest_,0.0,0.47,0.63,0.23
ocr,handwritten5,llama3_8b_,1.0,0.9,0.87,0.9
ocr,handwritten5,mistral_latest_,1.0,0.9,0.63,0.73
ocr,handwritten5,phi_latest_,0.33,0.1,0.13,0.0
ocr,handwritten6,llama3_8b_,1.0,1.0,0.93,1.0
ocr,handwritten6,mistral_latest_,1.0,1.0,1.0,1.0
ocr,handwritten6,phi_latest_,0.67,0.67,0.63,0.33
ocr,handwritten7,llama3_8b_,1.0,0.73,1.0,1.0
ocr,handwritten7,mistral_latest_,0.67,0.87,0.63,0.93
ocr,handwritten7,phi_latest_,0.67,0.33,0.2,0.07
ocr,printed1,llama3_8b_,1.0,0.8,0.87,1.0
ocr,printed1,mistral_latest_,1.0,0.77,0.57,0.73
ocr,printed1,phi_latest_,0.67,0.53,0.33,0.23
ocr,printed2,llama3_8b_,1.0,0.83,0.93,0.9
ocr,printed2,mistral_latest_,1.0,1.0,1.0,1.0
ocr,printed2,phi_latest_,0.33,0.27,0.13,0.33
ocr,printed3,llama3_8b_,1.0,0.83,0.73,0.9
ocr,printed3,mistral_latest_,1.0,0.97,0.8,1.0
ocr,printed3,phi_latest_,0.67,0.4,0.6,0.67
ocr,whiteboard1,llama3_8b_,0.67,0.5,0.6,1.0
ocr,whiteboard1,mistral_latest_,0.33,0.9,0.7,1.0
ocr,whiteboard1,phi_latest_,0.33,0.37,0.5,0.43
